用例ID	优先级	模块	用例标题	类型	云端适用性	前置条件	测试数据/参数	测试步骤	预期结果	自动化建议	状态	执行层级	负责人	最近执行日期	缺陷ID	证据链接	备注
NAV-001	P0	首页与路由	首页核心内容加载	正向	适用	打开线上根路径	/	访问根路径；等待页面完成加载	标题为“动画工厂 · XSXB Frame Tuner”；核心入口和流程区可见；无阻塞性错误	Playwright	通过	PR	待分配	2026-08-09	—	—	线上 Edge 与应用内浏览器复测：HTTP 200、主标题和正文可见、页面错误为 0。原截图仅反映 Computer Use 网页内容捕获限制，撤销误报 BUG-20260809-001，不作为产品缺陷。
NAV-002	P0	首页与路由	动画项目入口	正向	适用	首页已加载	/projects	点击“动画项目”或“进入动画项目”	进入 /projects；项目中心可见	Playwright	通过	PR	待分配	2026-08-09	—	—	线上 Edge 直达与本地入口链路均通过；项目中心正文可见。
NAV-003	P0	首页与路由	快速工具入口	正向	适用	首页已加载	/tools	点击“打开快速工具”	进入 /tools；快速工具卡片可见	Playwright	通过	PR	待分配	2026-08-09	—	—	线上 Edge 直达与本地入口链路均通过；快速工具正文可见。
NAV-004	P0	首页与路由	核心工作台入口	正向	适用	首页已加载	/workspace?guide=character	点击“打开核心工作台”	进入工作台；角色起稿引导按参数出现	Playwright	通过	PR	待分配	2026-08-09	—	—	线上目标路由 HTTP 200；本地 Edge 工作台及引导相关回归通过。
NAV-005	P0	首页与路由	六个工位路由完整性	参数化	适用	首页已加载	/workspace、/tools/import、/tools/cutout、/tools/organizer、/tools/scatter-slice、/tools/watermark	依次点击六个工位卡片；记录最终 URL 和页面标题	每个入口进入对应页面；无 404、白屏或错误跳转	Playwright 参数化	通过	PR	待分配	2026-08-09	—	—	六个线上工位路由均返回 HTTP 200；Edge 全套路由和交互回归通过。
NAV-006	P1	首页与路由	页内锚点导航	正向	适用	首页已加载	#factoryTools、#workflow、#localFirst	依次点击“工作台”“生产流程”“本地处理”	视口滚动到对应区块；焦点/URL 锚点合理	Playwright	未执行	Nightly	待分配	—	—	—	—
NAV-007	P1	首页与路由	浏览器前进后退	状态	适用	已从首页进入工具页	首页→工具→抠图	连续导航；使用浏览器后退和前进	页面和工具状态按路由恢复；无重复弹窗或崩溃	Playwright	未执行	Nightly	待分配	—	—	—	—
NAV-008	P1	首页与路由	未保存离开保护	异常	适用	工作台存在未保存调参	修改水平位置 +1	点击“工具”；依次验证取消、保存并离开、放弃	取消留在工作台；保存后离开且值持久；放弃后离开且不保存	Playwright	未执行	Nightly	待分配	—	—	—	—
NAV-009	P2	首页与路由	键盘跳到主要内容	可访问性	适用	首页/工作台已加载	Tab、Enter	按 Tab 聚焦跳转链接；按 Enter	焦点进入主要内容；无焦点丢失	Playwright+Axe	未执行	Nightly	待分配	—	—	—	—
NAV-010	P2	首页与路由	中英文切换	国际化	适用	工作台已加载	中文、English	点击“中”和“EN”；遍历主面板和弹窗	静态及动态文案切换；选中状态持久；无混杂关键文案	Playwright	未执行	Nightly	待分配	—	—	—	—
PRJ-001	P0	项目中心	云端默认临时项目状态	状态/边界	适用	清除本站 IndexedDB 与浏览器项目数据	无	在同一浏览器访问 /projects	显示 browser-session（浏览器临时工作区）项目卡、新建项目和快速工具入口；无无效项目卡	Playwright	通过	Release	待分配	2026-08-10	—	docs/qa/2026-08-09-全链路测试执行记录.md	Edge 生产路由与项目中心冒烟通过：browser-session 临时项目、新建项目及快速工具入口可见，无无效项目卡。
PRJ-002	P0	项目中心	新建项目入口	正向	适用	项目中心已加载	createProject=1	点击“新建项目”	进入 /tools/organizer?createProject=1；显示新项目名称字段	Playwright	通过	PR	待分配	2026-08-09	—	—	Edge 真实素材闭环从 createProject=1 成功进入并填写项目元数据。
PRJ-003	P0	项目中心	通过图片导入创建项目	闭环	适用	打开新建项目导入页	项目“测试项目”；角色“Hero”；动画“idle”；2 张 PNG；12 FPS	填写元数据；选择图片；点击“应用到动画”；确认；保存；返回项目中心；重新打开项目动画	创建项目和动画组并进入 /workspace；项目中心可查询该项目；重新打开后 2 帧及元数据完整	Playwright	通过	PR	待分配	2026-08-09	—	—	使用 download.png 与 程序员敌人.png 完成创建、保存、项目中心查询、重新打开及 2 帧持久化校验。
PRJ-004	P0	项目中心	项目切换	状态	适用	至少两个项目	项目 A、项目 B	在项目下拉切换；确认未保存提示；确认切换	当前项目、动画组、URL 和画布全部切换到 B	Playwright	通过	Release	待分配	2026-08-09	—	—	Edge 精确回归：未保存状态下先取消并保持原项目，再确认切换；项目选择与工作台状态正确更新。
PRJ-005	P0	项目中心	清空项目确认与执行	破坏性	适用	项目含至少一个动画	清空项目	先取消一次；再确认	取消不改变数据；确认后动画列表为空、项目仍存在	Playwright	通过	Release	待分配	2026-08-09	—	—	Edge 精确回归：取消后动画仍可用；确认后动画选择禁用且项目仍保留。
PRJ-006	P0	项目中心	删除项目确认与执行	破坏性	适用	普通项目存在	删除项目	先取消；再确认	取消不删除；确认后项目从列表消失并选择可用项目	Playwright	通过	Release	待分配	2026-08-09	—	—	Edge 精确回归：取消后项目仍存在；确认后目标选项移除并自动选择其他可用项目。
